2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant name - assumed 'name' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 249
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: listing_type in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 249
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant id - assumed 'id' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 251
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: listing_type in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 251
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant name - assumed 'name' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 251
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: listing_type in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 251
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: entry_ml_feedback_message in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 348
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant order_status_id - assumed 'order_status_id' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 365
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: status in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 365
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant name - assumed 'name' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 365
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: status in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 365
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant order_status_id - assumed 'order_status_id' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 367
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: status in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 367
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant name - assumed 'name' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 367
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: status in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 367
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant order_status_id - assumed 'order_status_id' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 381
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: status in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 381
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant name - assumed 'name' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 381
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: status in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 381
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant order_status_id - assumed 'order_status_id' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 383
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: status in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 383
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant name - assumed 'name' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 383
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: status in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 383
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant order_status_id - assumed 'order_status_id' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 397
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: status in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 397
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant name - assumed 'name' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 397
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: status in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 397
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant order_status_id - assumed 'order_status_id' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 399
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: status in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 399
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant name - assumed 'name' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 399
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: status in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 399
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant order_status_id - assumed 'order_status_id' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 413
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: status in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 413
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant name - assumed 'name' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 413
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: status in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 413
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant order_status_id - assumed 'order_status_id' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 415
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: status in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 415
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant name - assumed 'name' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 415
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: status in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 415
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant order_status_id - assumed 'order_status_id' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 430
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: status in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 430
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant name - assumed 'name' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 430
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: status in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 430
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant order_status_id - assumed 'order_status_id' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 432
